#     HJD               B           errB
2459656.62968769      14.7148       0.0063
2459656.63866837      14.6769       0.0063
2459656.64075152      14.6620       0.0063
2459656.64283467      14.6538       0.0063
2459656.64492939      14.6264       0.0063
2459656.64701254      14.6126       0.0063
2459656.65158390      14.5976       0.0063
2459656.65365548      14.5779       0.0054
2459656.65572705      14.5558       0.0054
2459656.65779863      14.5646       0.0063
2459656.66512437      14.5145       0.0054
2459656.66719595      14.5047       0.0054
2459656.66925595      14.4958       0.0054
2459656.67132752      14.4981       0.0063
2459656.67338753      14.4817       0.0063
2459656.67545910      14.4565       0.0063
2459656.67751911      14.4643       0.0063
2459656.67854332      14.4545       0.0098
2459656.68000731      14.4617       0.0054
2459656.68206732      14.4533       0.0054
2459656.68413889      14.4580       0.0054
2459656.68619889      14.4467       0.0054
2459656.68850193      14.4479       0.0054
2459656.69056193      14.4522       0.0054
2459656.69263351      14.4521       0.0054
2459656.69470509      14.4600       0.0054
2459656.69676509      14.4528       0.0054
2459656.69883667      14.4546       0.0054
2459656.70089667      14.4591       0.0054
2459656.70296825      14.4747       0.0054
2459656.70503982      14.4685       0.0054
2459656.70709982      14.4892       0.0054
2459656.70917140      14.4859       0.0054
2459656.71124298      14.4991       0.0054
2459656.71330298      14.5189       0.0054
2459656.71537456      14.5189       0.0054
2459656.71744613      14.5284       0.0054
2459656.71951771      14.5372       0.0054
2459656.72157771      14.5357       0.0054
2459656.72364929      14.5501       0.0054
2459656.72572086      14.5684       0.0063
2459656.72778087      14.5749       0.0063
2459656.72985244      14.5883       0.0063
2459656.73192402      14.5980       0.0063
2459656.73399559      14.6131       0.0063
2459656.73605560      14.6223       0.0063
2459656.73812717      14.6428       0.0063
2459656.74019875      14.6326       0.0063
2459656.74227032      14.6452       0.0063
2459656.74433033      14.6625       0.0063
2459656.74640190      14.6737       0.0063
2459656.74847348      14.6814       0.0063
2459656.75054506      14.6741       0.0063
2459656.75261663      14.6765       0.0063
2459656.75468821      14.6600       0.0063
2459656.75675978      14.6599       0.0063
2459656.75883136      14.6407       0.0063
2459656.76090293      14.6392       0.0073
2459656.76297451      14.6255       0.0073
2459656.76504609      14.6078       0.0063
2459656.76711766      14.6095       0.0063
2459656.76918924      14.5803       0.0063
2459656.77126081      14.5751       0.0063
2459656.77333239      14.5555       0.0063
2459656.77540397      14.5475       0.0063
2459656.77747554      14.5371       0.0063
2459656.77954712      14.5264       0.0063
2459656.78161870      14.5034       0.0063
