#     HJD               I           errI
2459656.62828156      12.9986       0.0045
2459656.63727382      12.9519       0.0036
2459656.63935697      12.9487       0.0045
2459656.64144012      12.9283       0.0036
2459656.64352327      12.9202       0.0045
2459656.64560642      12.9047       0.0036
2459656.64768957      12.8946       0.0036
2459656.65018935      12.8842       0.0036
2459656.65226092      12.8686       0.0036
2459656.65433250      12.8496       0.0036
2459656.65640408      12.8495       0.0036
2459656.65847565      12.8422       0.0036
2459656.66374139      12.8269       0.0036
2459656.66580139      12.8115       0.0036
2459656.66787297      12.8043       0.0036
2459656.66993297      12.7991       0.0036
2459656.67200455      12.7908       0.0036
2459656.67406455      12.7867       0.0036
2459656.67613613      12.7775       0.0036
2459656.68068434      12.7641       0.0036
2459656.68274434      12.7685       0.0036
2459656.68481592      12.7607       0.0036
2459656.68687592      12.7640       0.0036
2459656.68917896      12.7601       0.0036
2459656.69123896      12.7620       0.0036
2459656.69331053      12.7616       0.0036
2459656.69538211      12.7596       0.0036
2459656.69744211      12.7652       0.0036
2459656.69951369      12.7690       0.0036
2459656.70157369      12.7690       0.0036
2459656.70364527      12.7778       0.0036
2459656.70571684      12.7799       0.0036
2459656.70777685      12.7945       0.0036
2459656.70984842      12.7985       0.0036
2459656.71192000      12.7991       0.0036
2459656.71399158      12.8148       0.0036
2459656.71605158      12.8202       0.0036
2459656.71812316      12.8293       0.0036
2459656.72019473      12.8359       0.0036
2459656.72225473      12.8469       0.0036
2459656.72432631      12.8569       0.0036
2459656.72639789      12.8672       0.0036
2459656.72846946      12.8717       0.0036
2459656.73054104      12.8916       0.0036
2459656.73260104      12.9046       0.0036
2459656.73467262      12.9071       0.0036
2459656.73674419      12.9269       0.0036
2459656.73880420      12.9272       0.0036
2459656.74087577      12.9512       0.0045
2459656.74294735      12.9432       0.0045
2459656.74501892      12.9541       0.0045
2459656.74709050      12.9523       0.0045
2459656.74915050      12.9616       0.0045
2459656.75122208      12.9611       0.0045
2459656.75329365      12.9680       0.0045
2459656.75536523      12.9536       0.0045
2459656.75743681      12.9503       0.0045
2459656.75950838      12.9369       0.0045
2459656.76157996      12.9242       0.0045
2459656.76365153      12.9136       0.0045
2459656.76572311      12.9005       0.0045
2459656.76779469      12.8952       0.0036
2459656.76986626      12.8865       0.0036
2459656.77193784      12.8787       0.0036
2459656.77400941      12.8598       0.0036
2459656.77608099      12.8547       0.0036
2459656.77815257      12.8473       0.0036
2459656.78022414      12.8237       0.0036
2459656.78229572      12.8192       0.0036
2459656.78437887      12.8139       0.0036
2459656.78643887      12.8030       0.0036
2459656.78851045      12.7918       0.0036
2459656.79058202      12.7858       0.0036
2459656.79266517      12.7787       0.0036
2459656.79473675      12.7735       0.0036
2459656.79679675      12.7624       0.0036
2459656.79887990      12.7596       0.0036
2459656.80095147      12.7498       0.0036
2459656.80302305      12.7481       0.0036
2459656.80509463      12.7481       0.0036
2459656.80717778      12.7370       0.0036
2459656.80924935      12.7439       0.0036
2459656.81132093      12.7394       0.0036
2459656.81339250      12.7345       0.0036
2459656.81547565      12.7345       0.0036
2459656.81754723      12.7460       0.0036
2459656.81961880      12.7501       0.0036
2459656.82170195      12.7552       0.0036
2459656.82377353      12.7517       0.0036
2459656.82585668      12.7645       0.0045
2459656.82792825      12.7641       0.0036
2459656.82999983      12.7689       0.0036
2459656.83208298      12.7806       0.0036
2459656.83415455      12.7882       0.0036
2459656.83623770      12.7947       0.0036
2459656.83830928      12.8148       0.0045
2459656.84038085      12.8165       0.0045
2459656.84246400      12.8251       0.0045
2459683.64507061      12.8016       0.0036
2459683.64715374      12.7850       0.0036
2459683.64922529      12.7789       0.0036
2459683.65129685      12.7766       0.0036
2459683.65886554      12.7675       0.0036
2459683.66148103      12.7613       0.0036
2459683.66377247      12.7664       0.0036
2459683.66584402      12.7659       0.0036
2459683.66790400      12.7685       0.0036
2459683.66997556      12.7692       0.0045
2459683.67203554      12.7691       0.0036
2459683.67906031      12.7883       0.0036
2459683.68112029      12.7956       0.0036
2459683.68319185      12.8017       0.0036
2459683.68525183      12.8050       0.0036
2459683.68732338      12.8149       0.0036
2459683.68938336      12.8211       0.0036
2459683.69144335      12.8269       0.0036
2459683.69374636      12.8445       0.0036
2459683.69580634      12.8494       0.0036
2459683.69787790      12.8523       0.0036
2459683.69993788      12.8623       0.0036
2459683.70200943      12.8808       0.0036
2459683.70406941      12.8791       0.0036
2459683.70614097      12.8940       0.0036
2459683.70820095      12.9078       0.0036
2459683.71027251      12.9225       0.0036
2459683.71233249      12.9193       0.0036
2459683.71440404      12.9367       0.0036
2459683.71646402      12.9409       0.0036
2459683.71853558      12.9588       0.0036
2459683.72059556      12.9577       0.0036
2459683.72266712      12.9684       0.0036
2459683.72472710      12.9607       0.0045
2459683.72679865      12.9608       0.0045
2459683.72885863      12.9565       0.0036
2459683.73093019      12.9508       0.0045
2459683.73300175      12.9391       0.0045
2459683.73506173      12.9339       0.0045
2459683.73713328      12.9223       0.0045
2459683.73920484      12.9031       0.0045
2459683.74126482      12.8948       0.0036
2459683.74333637      12.8787       0.0036
2459683.74540793      12.8712       0.0036
2459688.62894280      12.8391       0.0036
2459688.63100278      12.8262       0.0036
2459688.63305119      12.8152       0.0036
2459688.63509960      12.8128       0.0045
2459688.63715958      12.8058       0.0045
2459688.63920799      12.7886       0.0045
2459688.64126797      12.7869       0.0045
2459688.64331638      12.7802       0.0058
2459688.64537637      12.7776       0.0045
2459688.64742478      12.7708       0.0036
2459688.64948476      12.7667       0.0067
2459688.65153317      12.7630       0.0058
2459688.65359315      12.7558       0.0045
2459688.65564156      12.7570       0.0036
2459688.65770154      12.7562       0.0045
2459688.65974995      12.7565       0.0036
2459688.66180994      12.7419       0.0089
2459688.66386992      12.7562       0.0067
2459688.66591833      12.7573       0.0036
2459688.66797831      12.7657       0.0036
2459688.67002672      12.7655       0.0036
2459688.67208670      12.7749       0.0058
2459688.67414669      12.7797       0.0045
2459688.67620667      12.7875       0.0036
2459688.67825508      12.7918       0.0036
2459688.68031506      12.8013       0.0036
2459688.68237504      12.8006       0.0036
2459688.68442345      12.8097       0.0036
2459688.68648344      12.8265       0.0036
2459688.68854342      12.8310       0.0036
2459688.68943454      12.8346       0.0036
2459688.69115890      12.8444       0.0045
2459688.69320731      12.8661       0.0045
2459688.69526730      12.8601       0.0076
2459688.69732728      12.8758       0.0081
2459688.69939883      12.8817       0.0058
2459688.70145882      12.8836       0.0067
2459688.70351880      12.9040       0.0045
2459688.70559035      12.9137       0.0058
2459688.70765034      12.9409       0.0067
2459688.70854145      12.9270       0.0054
2459688.71026582      12.9354       0.0054
2459688.71232580      12.9481       0.0045
2459688.71438579      12.9511       0.0036
2459688.71644577      12.9638       0.0054
2459688.71850575      12.9407       0.0067
2459688.72055416      12.9514       0.0054
2459688.72261414      12.9644       0.0045
2459688.72467413      12.9498       0.0036
2459688.72672254      12.9378       0.0036
2459688.72878252      12.9406       0.0036
2459688.73084250      12.9258       0.0045
2459688.73290249      12.9159       0.0036
2459688.73495089      12.9027       0.0036
2459695.65429921      12.7676       0.0036
2459695.65635920      12.7610       0.0036
2459695.65843076      12.7569       0.0036
2459695.66049074      12.7713       0.0036
