#     HJD               R           errR
2459656.62868662      13.4612       0.0045
2459656.63767888      13.4349       0.0054
2459656.63976203      13.4197       0.0054
2459656.64184518      13.4050       0.0045
2459656.64392833      13.3943       0.0045
2459656.64601148      13.3781       0.0045
2459656.64809462      13.3592       0.0045
2459656.65059440      13.3554       0.0045
2459656.65266598      13.3398       0.0045
2459656.65473756      13.3319       0.0045
2459656.65680913      13.3279       0.0045
2459656.66414645      13.2884       0.0045
2459656.66620645      13.2866       0.0045
2459656.66827803      13.2771       0.0045
2459656.67033803      13.2774       0.0054
2459656.67240960      13.2582       0.0045
2459656.67446961      13.2591       0.0045
2459656.67654118      13.2427       0.0045
2459656.67902939      13.2453       0.0045
2459656.68108939      13.2469       0.0045
2459656.68314940      13.2295       0.0045
2459656.68522097      13.2316       0.0045
2459656.68728097      13.2332       0.0045
2459656.68958401      13.2291       0.0045
2459656.69164402      13.2278       0.0045
2459656.69371559      13.2277       0.0045
2459656.69578717      13.2269       0.0045
2459656.69784717      13.2310       0.0045
2459656.69991875      13.2385       0.0045
2459656.70197875      13.2459       0.0045
2459656.70405033      13.2510       0.0045
2459656.70612190      13.2512       0.0045
2459656.70818190      13.2641       0.0045
2459656.71025348      13.2662       0.0045
2459656.71232506      13.2792       0.0045
2459656.71439663      13.2854       0.0045
2459656.71646821      13.2855       0.0045
2459656.71852821      13.2996       0.0045
2459656.72059979      13.3197       0.0045
2459656.72265979      13.3204       0.0045
2459656.72473137      13.3287       0.0045
2459656.72680294      13.3448       0.0045
2459656.72887452      13.3498       0.0045
2459656.73094609      13.3574       0.0045
2459656.73300610      13.3681       0.0045
2459656.73507767      13.3869       0.0045
2459656.73714925      13.3973       0.0045
2459656.73920925      13.4078       0.0045
2459656.74128083      13.4137       0.0054
2459656.74335241      13.4181       0.0054
2459656.74542398      13.4277       0.0054
2459656.74749556      13.4364       0.0054
2459656.74956713      13.4473       0.0054
2459656.75162714      13.4338       0.0054
2459656.75371028      13.4316       0.0054
2459656.75578186      13.4259       0.0054
2459656.75784186      13.4192       0.0054
2459656.75991344      13.4072       0.0054
2459656.76198502      13.3936       0.0054
2459656.76405659      13.3848       0.0054
2459656.76612817      13.3721       0.0054
2459656.76819974      13.3520       0.0045
2459656.77027132      13.3508       0.0045
2459656.77234290      13.3484       0.0045
2459656.77442604      13.3241       0.0045
2459656.77649762      13.3169       0.0045
2459656.77855762      13.3026       0.0045
2459656.78064077      13.2905       0.0045
2459656.78270078      13.2839       0.0045
2459656.78478392      13.2634       0.0045
2459656.78685550      13.2611       0.0045
2459656.78892708      13.2515       0.0045
2459656.79099865      13.2372       0.0045
2459656.79307023      13.2375       0.0045
2459656.79514180      13.2243       0.0045
2459656.79721338      13.2175       0.0045
2459656.79928496      13.2165       0.0045
2459656.80135653      13.2086       0.0045
2459656.80342811      13.1946       0.0045
2459656.80549968      13.2075       0.0045
2459656.80758283      13.2087       0.0045
2459656.80965441      13.2057       0.0045
2459656.81172598      13.2019       0.0045
2459656.81380913      13.2008       0.0045
2459656.81588071      13.2001       0.0045
2459656.81795229      13.2136       0.0045
2459656.82003543      13.2187       0.0045
2459656.82210701      13.2233       0.0054
2459656.82419016      13.2253       0.0045
2459656.82626173      13.2269       0.0054
2459656.82833331      13.2397       0.0045
2459656.83041646      13.2409       0.0045
2459656.83248803      13.2484       0.0045
2459656.83457118      13.2620       0.0045
2459656.83664276      13.2728       0.0054
2459656.83871434      13.2797       0.0054
2459656.84079748      13.2711       0.0054
2459683.64547566      13.2648       0.0045
2459683.64755879      13.2553       0.0045
2459683.64963035      13.2531       0.0045
2459683.65170190      13.2638       0.0045
2459683.65927060      13.2288       0.0045
2459683.66019064      13.2275       0.0036
2459683.66188608      13.2234       0.0045
2459683.66417752      13.2309       0.0045
2459683.66624907      13.2393       0.0045
2459683.66830906      13.2356       0.0045
2459683.67036904      13.2331       0.0054
2459683.67244059      13.2435       0.0045
2459683.67491720      13.2435       0.0045
2459683.67739381      13.2539       0.0045
2459683.67946536      13.2572       0.0045
2459683.68152534      13.2602       0.0045
2459683.68359690      13.2735       0.0045
2459683.68565688      13.2780       0.0045
2459683.68771686      13.2853       0.0045
2459683.68978842      13.2893       0.0045
2459683.69184840      13.3107       0.0045
2459683.69415141      13.3128       0.0045
2459683.69621139      13.3203       0.0045
2459683.69828295      13.3313       0.0045
2459683.70034293      13.3430       0.0045
2459683.70241449      13.3480       0.0045
2459683.70447447      13.3635       0.0045
2459683.70654602      13.3647       0.0045
2459683.70860600      13.3851       0.0045
2459683.71067756      13.3881       0.0045
2459683.71273754      13.3991       0.0045
2459683.71480910      13.4121       0.0045
2459683.71686908      13.4244       0.0045
2459683.71892906      13.4324       0.0045
2459683.72100061      13.4286       0.0045
2459683.72307217      13.4309       0.0045
2459683.72513215      13.4392       0.0045
2459683.72720371      13.4317       0.0045
2459683.72926369      13.4369       0.0045
2459683.73133524      13.4145       0.0045
2459683.73340680      13.4154       0.0045
2459683.73546678      13.4089       0.0045
2459683.73753833      13.3914       0.0054
2459683.73960989      13.3886       0.0045
2459683.74166987      13.3590       0.0045
2459683.74374142      13.3498       0.0045
2459688.62934785      13.3093       0.0045
2459688.63140783      13.2951       0.0045
2459688.63345624      13.2871       0.0045
2459688.63550465      13.2788       0.0058
2459688.63756463      13.2657       0.0054
2459688.63961304      13.2591       0.0054
2459688.64167303      13.2565       0.0045
2459688.64372144      13.2392       0.0067
2459688.64578142      13.2302       0.0045
2459688.64782983      13.2363       0.0045
2459688.64988981      13.2321       0.0067
2459688.65193822      13.2355       0.0089
2459688.65399820      13.2254       0.0081
2459688.65604661      13.2180       0.0045
2459688.65810660      13.2260       0.0045
2459688.66015501      13.2268       0.0045
2459688.66221499      13.2352       0.0089
2459688.66427497      13.2145       0.0067
2459688.66632338      13.2205       0.0058
2459688.66838336      13.2279       0.0045
2459688.67043177      13.2298       0.0045
2459688.67249176      13.2405       0.0067
2459688.67455174      13.2465       0.0045
2459688.67661172      13.2549       0.0045
2459688.67866013      13.2618       0.0045
2459688.68072011      13.2623       0.0045
2459688.68278010      13.2750       0.0045
2459688.68484008      13.2775       0.0045
2459688.68688849      13.2890       0.0045
2459688.69156396      13.3051       0.0045
2459688.69361237      13.3323       0.0081
2459688.69567235      13.3253       0.0103
2459688.69773233      13.3317       0.0089
2459688.69980389      13.3514       0.0045
2459688.70186387      13.3687       0.0076
2459688.70392385      13.3724       0.0054
2459688.70599541      13.3871       0.0058
2459688.71067087      13.4154       0.0058
2459688.71273086      13.4196       0.0054
2459688.71479084      13.4225       0.0045
2459688.71685082      13.4342       0.0067
2459688.71891080      13.4202       0.0067
2459688.72095921      13.4311       0.0067
2459688.72301920      13.4320       0.0054
2459688.72507918      13.4208       0.0045
2459688.72713916      13.4097       0.0045
2459688.72918757      13.4023       0.0045
2459688.73124756      13.3948       0.0054
2459688.73330754      13.3855       0.0045
2459688.73536752      13.3734       0.0045
2459695.65470426      13.2377       0.0045
2459695.65676425      13.2262       0.0045
2459695.65883581      13.2301       0.0045
2459695.66089580      13.2302       0.0045
2459695.66295578      13.2458       0.0045
