#     HJD               V           errV
2459656.62913218      13.9590       0.0063
2459656.63811287      13.9102       0.0063
2459656.64019602      13.8979       0.0063
2459656.64227917      13.8880       0.0054
2459656.64437389      13.8688       0.0054
2459656.64645704      13.8598       0.0054
2459656.64854019      13.8384       0.0054
2459656.64957019      13.8393       0.0045
2459656.65102839      13.8364       0.0054
2459656.65309997      13.8260       0.0054
2459656.65517155      13.8059       0.0054
2459656.65724312      13.7945       0.0054
2459656.65931470      13.7912       0.0054
2459656.66458044      13.7592       0.0054
2459656.66664044      13.7568       0.0054
2459656.66871202      13.7510       0.0054
2459656.67077202      13.7432       0.0067
2459656.67284359      13.7346       0.0067
2459656.67490360      13.7234       0.0054
2459656.67697517      13.7211       0.0058
2459656.67945181      13.7148       0.0054
2459656.68152338      13.7020       0.0054
2459656.68358339      13.7142       0.0054
2459656.68565496      13.7069       0.0054
2459656.68794643      13.7069       0.0054
2459656.69001800      13.7013       0.0054
2459656.69207800      13.7040       0.0054
2459656.69414958      13.7060       0.0054
2459656.69622116      13.7099       0.0054
2459656.69828116      13.7052       0.0054
2459656.70035274      13.7164       0.0054
2459656.70242431      13.7162       0.0054
2459656.70448431      13.7114       0.0054
2459656.70655589      13.7260       0.0054
2459656.70861589      13.7227       0.0054
2459656.71068747      13.7442       0.0054
2459656.71275905      13.7572       0.0054
2459656.71483062      13.7665       0.0054
2459656.71690220      13.7717       0.0054
2459656.71896220      13.7833       0.0054
2459656.72103378      13.7946       0.0054
2459656.72310535      13.7977       0.0054
2459656.72516536      13.8103       0.0054
2459656.72723693      13.8223       0.0054
2459656.72930851      13.8336       0.0054
2459656.73138008      13.8317       0.0054
2459656.73344009      13.8564       0.0054
2459656.73551166      13.8669       0.0054
2459656.73758324      13.8699       0.0054
2459656.73964324      13.8799       0.0054
2459656.74171482      13.8899       0.0063
2459656.74378639      13.8912       0.0063
2459656.74585797      13.9186       0.0063
2459656.74792955      13.9115       0.0063
2459656.75000112      13.9057       0.0063
2459656.75207270      13.9106       0.0063
2459656.75414427      13.9144       0.0063
2459656.75621585      13.8987       0.0063
2459656.75828743      13.9007       0.0063
2459656.76034743      13.8889       0.0063
2459656.76241900      13.8648       0.0063
2459656.76449058      13.8603       0.0063
2459656.76656216      13.8470       0.0063
2459656.76863373      13.8296       0.0063
2459656.77070531      13.8253       0.0063
2459656.77278846      13.8003       0.0054
2459656.77486003      13.8121       0.0054
2459656.77693161      13.7940       0.0054
2459656.77899161      13.7718       0.0054
2459656.78107476      13.7663       0.0054
2459656.78314634      13.7606       0.0054
2459656.78521791      13.7447       0.0054
2459656.78728949      13.7293       0.0054
2459656.78936107      13.7293       0.0054
2459656.79143264      13.7143       0.0054
2459656.79350422      13.7016       0.0054
2459656.79557579      13.7025       0.0054
2459656.79764737      13.6884       0.0054
2459656.79971895      13.6809       0.0054
2459656.80179052      13.6866       0.0054
2459656.80386210      13.6663       0.0054
2459656.80594525      13.6684       0.0054
2459656.80801682      13.6736       0.0054
2459656.81008840      13.6745       0.0054
2459656.81215997      13.6727       0.0054
2459656.81424312      13.6687       0.0054
2459656.81631470      13.6758       0.0054
2459656.81839785      13.6849       0.0054
2459656.82046942      13.6639       0.0067
2459656.82254100      13.6869       0.0067
2459656.82462415      13.6795       0.0067
2459656.82669572      13.6988       0.0067
2459656.82877887      13.7119       0.0063
2459656.83085045      13.7087       0.0067
2459656.83292202      13.7326       0.0063
2459656.83500517      13.7310       0.0067
2459656.83707675      13.7296       0.0067
2459656.83914832      13.7466       0.0067
2459656.84123147      13.7775       0.0067
2459683.64590965      13.7419       0.0054
2459683.64799277      13.7297       0.0054
2459683.65006433      13.7341       0.0054
2459683.65213588      13.7151       0.0054
2459683.66255152      13.7016       0.0054
2459683.66461150      13.7036       0.0054
2459683.66668306      13.6972       0.0054
2459683.66874304      13.7007       0.0058
2459683.67080302      13.7087       0.0054
2459683.67287458      13.7146       0.0054
2459683.67535119      13.7204       0.0054
2459683.67782779      13.7259       0.0054
2459683.67989935      13.7224       0.0054
2459683.68195933      13.7305       0.0054
2459683.68403088      13.7462       0.0054
2459683.68609086      13.7567       0.0054
2459683.68815085      13.7128       0.0054
2459683.69022240      13.7695       0.0054
2459683.69228238      13.7742       0.0054
2459683.69458540      13.7900       0.0054
2459683.69664538      13.7945       0.0054
2459683.69871693      13.8113       0.0054
2459683.70077692      13.8247       0.0054
2459683.70284847      13.8204       0.0054
2459683.70490845      13.8345       0.0054
2459683.70698001      13.8466       0.0054
2459683.70903999      13.8662       0.0054
2459683.71111154      13.8787       0.0054
2459683.71317153      13.8837       0.0054
2459683.71524308      13.8980       0.0054
2459683.71730306      13.9040       0.0054
2459683.71936304      13.9059       0.0054
2459683.72143460      13.9179       0.0054
2459683.72350615      13.9109       0.0054
2459683.72556614      13.9082       0.0054
2459683.72763769      13.9011       0.0054
2459683.72969767      13.9008       0.0054
2459683.73176923      13.8855       0.0054
2459683.73384078      13.8735       0.0054
2459683.73590076      13.8778       0.0054
2459683.73797232      13.8647       0.0054
2459683.74004387      13.8484       0.0054
2459683.74210386      13.8379       0.0054
2459683.74417541      13.8208       0.0054
2459688.62978183      13.7808       0.0054
2459688.63184182      13.7691       0.0054
2459688.63389023      13.7592       0.0054
2459688.63593864      13.7494       0.0058
2459688.63799862      13.7392       0.0067
2459688.64004703      13.7301       0.0058
2459688.64210701      13.7237       0.0081
2459688.64415542      13.7043       0.0067
2459688.64621540      13.7121       0.0058
2459688.64826381      13.7123       0.0058
2459688.65032380      13.7029       0.0067
2459688.65237221      13.7086       0.0112
2459688.65443219      13.6841       0.0081
2459688.65648060      13.6934       0.0045
2459688.65854058      13.6895       0.0054
2459688.66058899      13.6869       0.0058
