#     HJD               B        errB
2459655.86465414      15.1325       0.0112
2459655.86672598      15.1464       0.0112
2459655.86879781      15.1695       0.0112
2459655.87111270      15.1761       0.0122
2459655.87318453      15.2038       0.0122
2459655.87526794      15.2259       0.0122
2459655.87733977      15.2704       0.0122
2459655.87941160      15.2717       0.0122
2459655.88148344      15.2761       0.0122
2459655.88355527      15.2945       0.0122
2459655.89507187      15.2769       0.0122
2459655.89714371      15.2884       0.0122
2459655.89922711      15.2708       0.0112
2459655.90129894      15.2651       0.0122
2459655.90337077      15.2650       0.0112
2459655.90545418      15.2899       0.0122
2459655.90752601      15.2903       0.0112
2459655.90960942      15.3109       0.0122
2459655.91668142      15.2257       0.0112
2459655.91876483      15.2095       0.0112
2459655.92139224      15.1502       0.0102
2459655.92346407      15.1600       0.0112
2459655.92553590      15.1517       0.0102
2459655.92761931      15.1292       0.0102
2459655.92969114      15.1195       0.0102
2459655.93177454      15.0973       0.0102
2459655.93384637      15.1006       0.0102
2459655.93592978      15.0799       0.0102
2459655.93800161      15.0915       0.0102
2459655.94008502      15.0729       0.0092
2459655.94215685      15.0705       0.0102
2459655.94318119      15.0487       0.0173
2459655.94464536      15.0570       0.0092
2459655.94727277      15.0205       0.0102
2459655.94934460      15.0397       0.0092
2459655.95142801      15.0341       0.0102
2459655.95349984      15.0276       0.0151
2459655.95558324      15.0332       0.0092
2459655.95765508      15.0253       0.0112
2459655.95972691      15.0056       0.0112
2459655.96181031      15.0498       0.0112
2459655.96388215      15.0287       0.0112
2459655.96596555      15.0450       0.0112
2459655.96803738      15.0293       0.0092
2459655.97012079      15.0375       0.0102
2459655.97219262      15.0567       0.0102
2459655.97427603      15.0654       0.0112
2459655.97634786      15.0685       0.0092
2459655.97843126      15.0693       0.0132
2459655.98051467      15.0763       0.0122
2459655.98258650      15.0951       0.0112
2459655.98466991      15.0992       0.0102
2459655.98674174      15.1212       0.0112
2459655.98882515      15.1383       0.0112
2459655.99089698      15.1652       0.0102
