#     HJD               I         errI
2459655.86175474      14.0831       0.0092
2459655.86324784      14.0983       0.0092
2459655.86533125      14.1112       0.0092
2459655.86740308      14.1110       0.0092
2459655.86947491      14.1473       0.0092
2459655.87178981      14.1514       0.0092
2459655.87386164      14.1842       0.0102
2459655.87594505      14.2097       0.0102
2459655.87801688      14.2175       0.0102
2459655.88008871      14.2543       0.0102
2459655.88216054      14.2653       0.0102
2459655.88423237      14.2258       0.0102
2459655.89366557      14.2521       0.0102
2459655.89574898      14.2570       0.0102
2459655.89782081      14.2481       0.0102
2459655.89990422      14.2581       0.0102
2459655.90197605      14.2677       0.0102
2459655.90405946      14.2557       0.0102
2459655.90613129      14.2685       0.0102
2459655.90820312      14.2388       0.0102
2459655.91424500      14.2281       0.0102
2459655.91557606      14.2438       0.0112
2459655.91735853      14.1953       0.0092
2459655.91944194      14.1775       0.0092
2459655.92206934      14.1248       0.0092
2459655.92414117      14.1255       0.0092
2459655.92622458      14.0915       0.0092
2459655.92829641      14.1049       0.0092
2459655.93036824      14.0813       0.0092
2459655.93245165      14.0843       0.0092
2459655.93452348      14.0549       0.0082
2459655.93660689      14.0605       0.0092
2459655.93869029      14.0348       0.0082
2459655.94076213      14.0422       0.0092
2459655.94532247      14.0400       0.0092
2459655.94621370      14.0186       0.0082
2459655.94794988      14.0172       0.0082
2459655.95002171      14.0208       0.0082
2459655.95210511      13.9997       0.0082
2459655.95417695      13.9873       0.0102
2459655.95626035      13.9983       0.0092
2459655.95834376      13.9962       0.0092
2459655.96040401      13.9985       0.0082
2459655.96248742      14.0107       0.0092
2459655.96455925      14.0046       0.0082
2459655.96664266      14.0022       0.0092
2459655.96871449      14.0147       0.0092
2459655.97079790      14.0320       0.0092
2459655.97286973      14.0182       0.0102
2459655.97495313      14.0181       0.0082
2459655.97702496      14.0362       0.0092
2459655.97910837      14.0285       0.0112
2459655.98119178      14.0665       0.0092
2459655.98326361      14.0646       0.0092
2459655.98534701      14.0632       0.0092
2459655.98743042      14.0920       0.0092
2459655.98950225      14.0796       0.0102
2459655.99157408      14.1149       0.0092
2459655.99365749      14.1510       0.0102
2459655.99572932      14.1675       0.0102
2459655.99777800      14.1728       0.0102
2459655.99986141      14.2159       0.0112
2459656.00193324      14.2342       0.0102
2459656.00401665      14.2272       0.0102
2459656.00608848      14.2527       0.0102
2459656.00817188      14.2758       0.0112
2459656.01025529      14.2728       0.0112
2459656.01233870      14.2715       0.0112
2459656.01441053      14.2883       0.0112
2459656.01648236      14.2730       0.0102
2459656.01855419      14.2862       0.0112
2459662.88323603      14.2806       0.0061
2459662.88531943      14.2533       0.0061
2459662.88741440      14.2853       0.0073
2459662.88948622      14.2627       0.0061
2459662.89156962      14.2525       0.0061
2459662.89365302      14.2406       0.0073
2459662.89573641      14.2272       0.0061
2459662.89781981      14.2056       0.0061
2459662.89989163      14.1756       0.0061
2459662.90197503      14.1646       0.0061
2459662.90404685      14.1343       0.0061
2459662.90611868      14.1237       0.0061
2459662.90819050      14.1100       0.0061
2459662.91026232      14.0969       0.0061
2459662.91233415      14.0897       0.0061
2459662.91440597      14.0796       0.0061
2459662.91647779      14.0804       0.0061
2459662.91856119      14.0484       0.0061
