#     HJD               R         errR
2459655.86215984      14.4093       0.0102
2459655.86365295      14.4042       0.0102
2459655.86573636      14.4198       0.0102
2459655.86780819      14.4179       0.0102
2459655.87012308      14.4538       0.0102
2459655.87219492      14.4968       0.0112
2459655.87426675      14.5019       0.0112
2459655.87635015      14.4999       0.0112
2459655.87842199      14.5514       0.0112
2459655.88049382      14.5332       0.0112
2459655.88256565      14.5437       0.0112
2459655.88463748      14.5492       0.0112
2459655.89408225      14.5561       0.0112
2459655.89615409      14.5602       0.0112
2459655.89822592      14.5689       0.0112
2459655.90030932      14.5545       0.0112
2459655.90238116      14.5506       0.0112
2459655.90446456      14.5469       0.0112
2459655.90653639      14.5642       0.0112
2459655.90860823      14.5615       0.0112
2459655.91463853      14.5218       0.0112
2459655.91569181      14.5371       0.0112
2459655.91776364      14.5048       0.0112
2459655.91984704      14.4633       0.0102
2459655.92076721      14.4814       0.0091
2459655.92247445      14.4606       0.0102
2459655.92454628      14.4324       0.0102
2459655.92661811      14.4225       0.0102
2459655.92870152      14.4037       0.0092
2459655.93077335      14.3820       0.0102
2459655.93285676      14.3919       0.0102
2459655.93494016      14.3691       0.0092
2459655.93701199      14.3613       0.0092
2459655.93909540      14.3647       0.0092
2459655.94116723      14.3583       0.0092
2459655.94365574      14.3400       0.0102
2459655.94835498      14.3219       0.0092
2459655.95042682      14.3305       0.0092
2459655.95251022      14.3102       0.0092
2459655.95458205      14.3204       0.0092
2459655.95666546      14.3092       0.0112
2459655.95874886      14.3218       0.0102
2459655.96080912      14.3166       0.0092
2459655.96289253      14.3094       0.0102
2459655.96496436      14.3105       0.0092
2459655.96704777      14.3139       0.0092
2459655.96911960      14.3125       0.0092
2459655.97120300      14.3178       0.0112
2459655.97327483      14.3420       0.0102
2459655.97535824      14.3443       0.0092
2459655.97743007      14.3418       0.0092
2459655.97951348      14.3587       0.0102
2459655.98159688      14.3642       0.0092
2459655.98368029      14.3751       0.0102
2459655.98575212      14.3652       0.0102
2459655.98783553      14.3877       0.0102
2459655.98990736      14.4253       0.0112
2459655.99197919      14.4487       0.0102
2459655.99406260      14.4461       0.0102
2459655.99613443      14.4807       0.0112
2459655.99818311      14.4775       0.0102
2459656.00026652      14.5157       0.0112
2459656.00233835      14.5523       0.0102
2459656.00442175      14.5559       0.0102
2459656.00649359      14.5592       0.0112
2459656.00857699      14.5869       0.0122
2459656.01066040      14.5812       0.0112
2459656.01274380      14.6017       0.0112
2459656.01481563      14.6007       0.0112
2459656.01688747      14.5973       0.0112
2459656.01895930      14.6108       0.0112
2459662.88364113      14.5719       0.0073
2459662.88572453      14.5590       0.0073
2459662.88781950      14.5782       0.0073
2459662.88989133      14.5735       0.0073
2459662.89197472      14.5614       0.0073
2459662.89405812      14.5463       0.0073
2459662.89614152      14.5137       0.0073
2459662.89822492      14.5149       0.0073
2459662.90029674      14.4851       0.0073
2459662.90238014      14.4543       0.0073
2459662.90445196      14.4446       0.0073
2459662.90652378      14.4185       0.0073
2459662.90859561      14.4121       0.0073
2459662.91066743      14.4136       0.0073
2459662.91273925      14.3843       0.0063
2459662.91481108      14.3868       0.0073
2459662.91688290      14.3707       0.0063
2459662.91896630      14.3607       0.0063
2459662.92103812      14.3625       0.0063
2459662.92310994      14.3509       0.0063
2459662.92724201      14.3263       0.0063
2459662.92931384      14.3296       0.0063
2459662.93138566      14.3131       0.0063
2459662.93345748      14.3222       0.0063
2459662.93552931      14.3205       0.0063
2459662.93760113      14.3051       0.0063
2459662.93968453      14.3021       0.0063
2459662.94175635      14.3122       0.0063
2459662.94383975      14.3177       0.0063
2459662.94591157      14.3077       0.0063
2459662.94798339      14.3177       0.0063
2459662.95005522      14.3322       0.0063
2459662.95212704      14.3350       0.0063
2459662.95419886      14.3533       0.0063
2459662.95627069      14.3540       0.0063
2459662.95834251      14.3553       0.0063
2459662.96042591      14.3735       0.0063
2459662.96252088      14.3713       0.0063
2459662.96461585      14.3852       0.0063
2459662.96671082      14.4090       0.0063
2459662.96880580      14.4240       0.0063
2459662.97090077      14.4384       0.0073
2459662.97300731      14.4531       0.0073
2459662.97510229      14.4741       0.0073
2459662.97718568      14.5117       0.0073
2459662.97928065      14.5166       0.0073
2459662.98135248      14.5414       0.0073
2459662.98342430      14.5759       0.0073
2459662.98549612      14.5860       0.0073
2459662.98757952      14.5973       0.0073
2459662.98965134      14.6173       0.0073
2459662.99172317      14.6051       0.0073
2459662.99380656      14.6139       0.0073
2459662.99587839      14.6054       0.0073
2459662.99796179      14.6144       0.0073
2459663.00003361      14.6177       0.0073
2459663.00210543      14.6076       0.0073
2459663.00418883      14.6217       0.0073
2459663.00626065      14.6028       0.0073
2459663.00834405      14.6174       0.0073
2459663.01041587      14.6185       0.0073
