#     HJD               V         errV
2459655.86409857      14.6926       0.0122
2459655.86617040      14.6820       0.0122
2459655.86825381      14.7314       0.0122
2459655.87055713      14.7478       0.0132
2459655.87262896      14.7579       0.0122
2459655.87471237      14.7900       0.0132
2459655.87678420      14.8057       0.0132
2459655.87885603      14.8266       0.0132
2459655.88092786      14.8494       0.0132
2459655.88299969      14.8425       0.0132
2459655.89451630      14.8402       0.0132
2459655.89659970      14.8344       0.0132
2459655.89867154      14.8623       0.0132
2459655.90074337      14.8618       0.0132
2459655.90282677      14.8570       0.0132
2459655.90489860      14.8313       0.0132
2459655.90697044      14.8340       0.0122
2459655.90905384      14.8482       0.0132
2459655.91612585      14.8038       0.0122
2459655.91820926      14.7994       0.0122
2459655.92290849      14.7049       0.0112
2459655.92499190      14.7064       0.0112
2459655.92706373      14.7041       0.0112
2459655.92914714      14.7048       0.0112
2459655.93121897      14.6726       0.0112
2459655.93329080      14.6717       0.0112
2459655.93537421      14.6606       0.0112
2459655.93745761      14.6399       0.0102
2459655.93952944      14.6452       0.0112
2459655.94160128      14.6342       0.0122
2459655.94408979      14.6423       0.0112
2459655.94671719      14.6173       0.0112
2459655.94878903      14.6250       0.0102
2459655.95087243      14.5999       0.0102
2459655.95294426      14.5919       0.0132
2459655.95502767      14.5853       0.0112
2459655.95709950      14.5916       0.0112
2459655.95918291      14.5875       0.0102
2459655.96125474      14.5833       0.0112
2459655.96332657      14.5647       0.0112
2459655.96540998      14.6046       0.0122
2459655.96749338      14.5966       0.0112
2459655.96956521      14.5846       0.0112
2459655.97163705      14.6078       0.0122
2459655.97370888      14.6208       0.0112
2459655.97579228      14.6293       0.0102
2459655.97787569      14.6119       0.0122
2459655.97995910      14.6189       0.0112
2459655.98203093      14.6584       0.0112
2459655.98411433      14.6725       0.0112
2459655.98618616      14.6673       0.0112
2459655.98826957      14.6614       0.0112
2459655.99034140      14.6916       0.0112
2459655.99242481      14.7332       0.0122
2459655.99449664      14.7396       0.0122
2459655.99654532      14.7709       0.0132
2459655.99862873      14.7749       0.0122
2459656.00070056      14.8140       0.0141
2459656.00277239      14.8444       0.0122
2459656.00485580      14.8568       0.0122
2459656.00693920      14.8779       0.0122
2459656.00902261      14.8661       0.0132
2459656.01110602      14.8884       0.0132
2459656.01317785      14.8971       0.0122
2459656.01524968      14.8967       0.0122
2459656.01732151      14.9031       0.0141
2459656.01940492      14.8759       0.0132
2459662.88408675      14.8547       0.0082
2459662.88617015      14.8464       0.0082
2459662.88825354      14.8452       0.0082
2459662.89033694      14.8605       0.0082
2459662.89242034      14.8317       0.0082
2459662.89658713      14.7933       0.0082
2459662.89865896      14.7812       0.0073
2459662.90074235      14.7485       0.0073
2459662.90281418      14.7314       0.0073
2459662.90488600      14.7111       0.0073
2459662.90695782      14.6936       0.0073
2459662.90902965      14.6855       0.0073
2459662.91110147      14.6742       0.0073
2459662.91317329      14.6634       0.0073
2459662.91524512      14.6555       0.0073
2459662.91732851      14.6455       0.0073
2459662.91940034      14.6299       0.0073
2459662.92147216      14.6198       0.0073
2459662.92354398      14.6205       0.0073
2459662.92560423      14.6207       0.0073
2459662.92767606      14.5985       0.0073
2459662.92974788      14.6109       0.0073
2459662.93181970      14.6071       0.0073
2459662.93389152      14.5867       0.0073
2459662.93596335      14.5919       0.0073
2459662.93804675      14.5878       0.0073
2459662.94011857      14.5950       0.0073
2459662.94220197      14.5849       0.0073
2459662.94427379      14.5965       0.0073
2459662.94634561      14.5985       0.0073
2459662.94841744      14.6010       0.0073
2459662.95048926      14.6079       0.0073
2459662.95256108      14.6229       0.0073
2459662.95463290      14.6235       0.0073
2459662.95670473      14.6219       0.0073
2459662.95878813      14.6505       0.0073
2459662.96087152      14.6508       0.0073
2459662.96296650      14.6535       0.0073
2459662.96506147      14.6709       0.0073
2459662.96715644      14.6887       0.0073
2459662.96925141      14.7115       0.0073
2459662.97134638      14.7260       0.0073
2459662.97345293      14.7440       0.0073
2459662.97553633      14.7508       0.0073
2459662.97763130      14.7821       0.0073
2459662.97971470      14.8013       0.0073
2459662.98178652      14.8350       0.0073
2459662.98385834      14.8601       0.0073
2459662.98594174      14.8840       0.0082
2459662.98801356      14.8873       0.0082
2459662.99008539      14.9019       0.0082
2459662.99216878      14.8884       0.0082
2459662.99424061      14.8957       0.0082
2459662.99632400      14.9020       0.0082
2459662.99839583      14.9056       0.0082
2459663.00046765      14.9070       0.0082
