wavelength,flux,flux_error
3360.0,4.537816e-17,1.0474714e-17
3380.0,4.544656e-17,7.901557e-18
3400.0,3.8303247e-17,6.485295e-18
3420.0,3.4960315e-17,5.6774397e-18
3440.0,3.953803e-17,5.396717e-18
3460.0,4.461482e-17,5.395183e-18
3480.0,4.3434966e-17,5.6708215e-18
3500.0,3.7859147e-17,6.103171e-18
3520.0,3.5635447e-17,6.687318e-18
3540.0,3.750019e-17,7.238123e-18
3560.0,3.749903e-17,6.941161e-18
3580.0,3.643153e-17,6.3778624e-18
3600.0,3.840787e-17,5.8632775e-18
3620.0,4.0449906e-17,5.993278e-18
3640.0,3.9856222e-17,5.791344e-18
3660.0,3.8633398e-17,6.5288555e-18
3680.0,4.000414e-17,6.431666e-18
3700.0,4.2523026e-17,7.3981595e-18
3720.0,4.1876766e-17,7.346595e-18
3740.0,3.809601e-17,8.052579e-18
3760.0,3.7138146e-17,8.878321e-18
3780.0,4.4158455e-17,8.557426e-18
3800.0,5.4530836e-17,1.0311764e-17
3820.0,5.821734e-17,9.213664e-18
3840.0,5.3162865e-17,9.4648785e-18
3860.0,4.6990658e-17,9.473154e-18
3880.0,4.6273678e-17,7.313261e-18
3900.0,4.940471e-17,7.780232e-18
3920.0,5.150492e-17,6.7180218e-18
3940.0,5.0480017e-17,5.419862e-18
3960.0,4.854429e-17,6.0553426e-18
3980.0,4.8763588e-17,5.121277e-18
4000.0,5.180363e-17,4.4618106e-18
4020.0,5.594567e-17,5.2098023e-18
4040.0,5.82145e-17,4.519414e-18
4060.0,5.759573e-17,3.9632184e-18
4080.0,5.5170684e-17,4.7891454e-18
4100.0,5.3052456e-17,4.436929e-18
4120.0,5.2813788e-17,3.6584838e-18
4140.0,5.4750635e-17,4.4105e-18
4160.0,5.7402814e-17,4.583481e-18
4180.0,5.924792e-17,3.6815646e-18
4200.0,5.937625e-17,3.8781606e-18
4220.0,5.7829944e-17,4.5851817e-18
4240.0,5.5372168e-17,4.0890954e-18
4260.0,5.298198e-17,3.4311936e-18
4280.0,5.1075514e-17,4.0489515e-18
4300.0,4.9982584e-17,4.3879537e-18
4320.0,4.9654775e-17,3.7034675e-18
4340.0,4.9981528e-17,3.2991094e-18
4360.0,5.1001525e-17,3.8927455e-18
4380.0,5.264891e-17,4.093232e-18
4400.0,5.4418803e-17,3.5015676e-18
4420.0,5.589877e-17,3.1525183e-18
4440.0,5.668111e-17,3.5882698e-18
4460.0,5.660188e-17,3.8036358e-18
4480.0,5.5761185e-17,3.3757758e-18
4500.0,5.448197e-17,2.9362765e-18
4520.0,5.3251426e-17,3.1429987e-18
4540.0,5.2456132e-17,3.4570529e-18
4560.0,5.2227195e-17,3.3035366e-18
4580.0,5.260173e-17,2.8668397e-18
4600.0,5.326119e-17,2.7258614e-18
4620.0,5.3995796e-17,2.9588633e-18
4640.0,5.456347e-17,3.0724263e-18
4660.0,5.4743375e-17,2.85718e-18
4680.0,5.4709468e-17,2.5577818e-18
4700.0,5.4333183e-17,2.5000475e-18
4720.0,5.3801395e-17,2.6412795e-18
4740.0,5.3207496e-17,2.6893151e-18
4760.0,5.256928e-17,2.539473e-18
4780.0,5.191618e-17,2.3308905e-18
4800.0,5.1378077e-17,2.259511e-18
4820.0,5.0816398e-17,2.319689e-18
4840.0,5.0428712e-17,2.3636731e-18
4860.0,5.006726e-17,2.292278e-18
4880.0,4.9879064e-17,2.156296e-18
4900.0,4.9855046e-17,2.0636975e-18
4920.0,4.9982766e-17,2.0637406e-18
4940.0,5.011174e-17,2.0960143e-18
4960.0,5.0207732e-17,2.0850818e-18
4980.0,5.031009e-17,2.017092e-18
5000.0,5.037631e-17,1.9339423e-18
5020.0,5.0218962e-17,1.88341e-18
5040.0,5.0109295e-17,1.8882587e-18
5060.0,4.9954142e-17,1.9088388e-18
5080.0,4.986053e-17,1.9067109e-18
5100.0,4.9899677e-17,1.8706905e-18
5120.0,5.002257e-17,1.816113e-18
5140.0,5.0250137e-17,1.7724944e-18
5160.0,5.0529793e-17,1.7542817e-18
5180.0,5.0767184e-17,1.752722e-18
5200.0,5.0787828e-17,1.7453292e-18
5220.0,5.0699054e-17,1.724969e-18
5240.0,5.0417578e-17,1.6911263e-18
5260.0,4.987217e-17,1.653288e-18
5280.0,4.9171877e-17,1.6265659e-18
5300.0,4.838e-17,1.6151588e-18
5320.0,4.7458707e-17,1.6088601e-18
5340.0,4.6586614e-17,1.5997791e-18
5360.0,4.5914218e-17,1.5825278e-18
5380.0,4.53928e-17,1.5528263e-18
5400.0,4.5011546e-17,1.5154409e-18
5420.0,4.4855788e-17,1.4821825e-18
5440.0,4.489929e-17,1.459601e-18
5460.0,4.493198e-17,1.4434394e-18
5480.0,4.5019775e-17,1.4335432e-18
5500.0,4.5107214e-17,1.423739e-18
5520.0,4.5172194e-17,1.4101611e-18
5540.0,4.5026366e-17,1.3867833e-18
5560.0,4.4876914e-17,1.3626186e-18
