#     HJD               B           errB
2459624.63952998      16.3652       0.0192
2459624.64160163      16.3442       0.0192
2459624.64366171      16.2701       0.0182
2459624.64573337      16.2012       0.0173
2459624.64779345      16.1922       0.0173
2459624.64984196      16.1137       0.0163
2459624.65190204      16.0775       0.0153
2459624.65396213      16.0324       0.0153
2459624.65602221      16.0163       0.0153
2459624.65807072      15.9850       0.0153
2459624.66013080      15.9646       0.0143
2459624.66274641      15.9424       0.0153
2459624.66480649      15.9409       0.0165
2459624.66686658      15.9140       0.0153
2459624.66891508      15.8845       0.0143
2459624.67098674      15.9075       0.0153
2459624.67304682      15.8311       0.0175
2459624.67510691      15.8611       0.0155
2459624.67716699      15.8618       0.0155
2459624.67922707      15.8298       0.0165
2459624.68127558      15.8456       0.0143
2459624.68333566      15.8406       0.0155
2459624.68539574      15.8190       0.0143
2459624.68745583      15.8543       0.0143
2459624.68951591      15.8252       0.0155
2459624.69157599      15.8026       0.0133
2459624.69363607      15.8316       0.0133
2459624.69635584      15.8216       0.0143
2459624.69841593      15.8283       0.0133
2459624.70103154      15.8567       0.0133
2459624.70309162      15.8825       0.0143
2459624.70515170      15.8965       0.0143
2459624.70721178      15.8893       0.0133
2459624.70927187      15.9188       0.0133
2459624.71133195      15.9476       0.0143
2459624.71339203      15.9271       0.0143
2459624.71545211      15.9725       0.0143
2459624.71751220      15.9782       0.0143
2459624.71957228      15.9677       0.0165
2459624.72163236      16.0203       0.0153
2459624.72369244      16.0505       0.0173
2459624.72575253      16.0925       0.0163
2459624.72781261      16.1336       0.0163
2459624.73010416      16.1480       0.0173
2459624.73216424      16.2180       0.0192
2459624.73422432      16.2716       0.0182
2459624.73629598      16.3629       0.0192
2459624.73835606      16.4128       0.0192
2459624.74064761      16.4726       0.0212
2459624.74270770      16.4880       0.0212
2459624.74476778      16.4992       0.0202
2459624.74683943      16.5313       0.0212
2459624.74945504      16.5027       0.0202
2459624.75151513      16.4234       0.0192
2459624.75357521      16.4488       0.0202
2459624.75563529      16.3757       0.0182
2459624.75770695      16.2839       0.0173
2459624.75976703      16.2652       0.0173
2459624.76182711      16.1945       0.0163
2459624.76389877      16.1534       0.0163
2459624.76595885      16.1329       0.0153
2459624.76882907      16.0510       0.0143
2459624.77090073      16.0336       0.0143
2459624.77296081      15.9801       0.0143
2459624.77502090      15.9620       0.0143
2459624.77708098      15.9324       0.0133
2459624.77961557      15.9054       0.0133
2459624.78168723      15.9030       0.0133
2459624.78374731      15.8839       0.0133
2459624.78605043      15.8621       0.0124
2459624.78834199      15.8388       0.0124
2459624.79063354      15.8486       0.0133
2459624.79269362      15.8269       0.0124
2459624.79476528      15.8058       0.0124
2459624.79705683      15.8243       0.0124
2459624.79912848      15.7879       0.0124
2459624.80118857      15.7879       0.0124
2459624.80324865      15.7993       0.0124
2459624.80532030      15.7943       0.0124
2459624.80738039      15.7902       0.0124
2459624.80840464      15.7700       0.0206
2459624.80986869      15.7936       0.0124
2459624.81192877      15.7983       0.0124
2459624.81400043      15.7919       0.0124
2459624.81606051      15.7975       0.0133
2459624.81708476      15.8008       0.0206
2459624.81853724      15.8062       0.0124
2459624.82060889      15.8402       0.0133
2459624.82307405      15.8300       0.0133
2459624.82513413      15.8709       0.0133
2459624.82719421      15.8848       0.0143
2459624.82926586      15.8762       0.0143
2459624.83132595      15.9140       0.0143
2459624.83338603      15.9331       0.0143
2459624.83545768      15.9517       0.0143
2459624.83752934      15.9814       0.0153
2459624.84014495      16.0209       0.0153
2459624.84221660      16.1009       0.0163
2459624.84427669      16.1148       0.0163
2459624.84634834      16.1525       0.0173
2459624.84840842      16.2095       0.0182
2459624.85048008      16.2701       0.0182
2459624.85254016      16.3145       0.0192
2459624.85461182      16.4070       0.0212
2459624.85667190      16.5126       0.0232
2459624.85874355      16.5790       0.0252
2459624.86081521      16.5776       0.0252
2459624.86287529      16.6281       0.0252
2459624.86494695      16.6536       0.0262
2459624.86700703      16.6069       0.0252
2459624.86907868      16.6141       0.0252
2459624.87113876      16.5726       0.0252
2459624.87321042      16.4909       0.0232
2459624.87528208      16.4459       0.0222
2459624.87734216      16.3541       0.0202
2459624.87941381      16.2902       0.0202
2459624.88148547      16.2198       0.0192
2459624.88354555      16.1698       0.0173
2459624.88561721      16.1310       0.0173
2459624.88768886      16.1145       0.0173
2459624.88976052      16.0461       0.0163
2459624.89182060      16.0036       0.0163
2459624.89389225      15.9757       0.0163
2459624.89596391      15.9719       0.0163
2459624.89803556      15.9334       0.0153
2459624.90009565      15.9408       0.0153
2459624.90216730      15.9062       0.0143
2459624.90423896      15.8847       0.0143
2459624.90629904      15.8862       0.0153
2459624.90837069      15.9016       0.0153
2459624.91044235      15.8765       0.0153
2459624.91251400      15.8648       0.0153
2459624.91458566      15.8385       0.0153
2459624.91664574      15.8220       0.0143
2459624.91871740      15.8276       0.0143
2459624.92078905      15.8348       0.0153
2459624.92286071      15.8385       0.0155
2459624.92492079      15.8287       0.0153
