#     HJD               I           errI
2459624.63813537      14.2105       0.0073
2459624.64020703      14.1464       0.0073
2459624.64227868      14.1026       0.0073
2459624.64433876      14.0636       0.0063
2459624.64639885      14.0142       0.0063
2459624.64847050      13.9550       0.0063
2459624.65051901      13.9293       0.0063
2459624.65257909      13.8887       0.0063
2459624.65463918      13.8582       0.0076
2459624.65669926      13.8412       0.0063
2459624.65874777      13.8158       0.0063
2459624.66080785      13.7966       0.0063
2459624.66169901      13.7873       0.0063
2459624.66342346      13.7644       0.0067
2459624.66548354      13.7735       0.0063
2459624.66754363      13.7458       0.0063
2459624.66959213      13.7413       0.0054
2459624.67166379      13.7187       0.0067
2459624.67372387      13.7304       0.0067
2459624.67578396      13.7153       0.0054
2459624.67784404      13.7100       0.0067
2459624.67990412      13.6930       0.0054
2459624.68195263      13.6881       0.0054
2459624.68401271      13.6818       0.0054
2459624.68607279      13.6753       0.0054
2459624.68813288      13.6844       0.0054
2459624.69019296      13.6806       0.0054
2459624.69225304      13.6889       0.0054
2459624.69431312      13.6946       0.0054
2459624.69703289      13.6911       0.0063
2459624.69909298      13.6949       0.0054
2459624.69998414      13.7016       0.0054
2459624.70170859      13.7085       0.0054
2459624.70376867      13.7239       0.0054
2459624.70582875      13.7255       0.0054
2459624.70788883      13.7456       0.0054
2459624.70994892      13.7544       0.0054
2459624.71200900      13.7629       0.0054
2459624.71406908      13.7703       0.0054
2459624.71612916      13.7803       0.0054
2459624.71818924      13.8157       0.0063
2459624.72024933      13.8274       0.0063
2459624.72230941      13.8467       0.0063
2459624.72436949      13.8790       0.0063
2459624.72642957      13.9258       0.0063
2459624.72872113      13.9569       0.0063
2459624.73078121      13.9944       0.0073
2459624.73284129      14.0434       0.0063
2459624.73490137      14.0957       0.0073
2459624.73697303      14.1527       0.0073
2459624.73903311      14.1942       0.0073
2459624.74132466      14.2544       0.0073
2459624.74338475      14.2840       0.0073
2459624.74544483      14.3029       0.0073
2459624.74751648      14.2973       0.0073
2459624.75013209      14.2843       0.0073
2459624.75219217      14.2349       0.0073
2459624.75425226      14.1933       0.0073
2459624.75631234      14.1289       0.0073
2459624.75838400      14.0944       0.0063
2459624.76044408      14.0476       0.0063
2459624.76250416      14.0030       0.0063
2459624.76457582      13.9593       0.0063
2459624.76663590      13.9190       0.0063
2459624.76950612      13.8593       0.0063
2459624.77157778      13.8387       0.0054
2459624.77363786      13.8107       0.0054
2459624.77569794      13.7962       0.0054
2459624.77775803      13.7824       0.0054
2459624.78029262      13.7672       0.0054
2459624.78236428      13.7494       0.0054
2459624.78442436      13.7415       0.0054
2459624.78695895      13.7203       0.0054
2459624.78925051      13.7149       0.0054
2459624.79131059      13.6968       0.0054
2459624.79338224      13.6895       0.0054
2459624.79567380      13.6807       0.0054
2459624.79773388      13.6761       0.0054
2459624.79980553      13.6814       0.0054
2459624.80186562      13.6755       0.0054
2459624.80392570      13.6777       0.0054
2459624.80599735      13.6620       0.0054
2459624.81054574      13.6729       0.0054
2459624.81260582      13.6765       0.0054
2459624.81467747      13.6855       0.0054
2459624.81922586      13.6897       0.0054
2459624.82167944      13.7116       0.0054
2459624.82375109      13.7273       0.0054
2459624.82581118      13.7362       0.0054
2459624.82787126      13.7562       0.0054
2459624.82994291      13.7684       0.0063
2459624.83200300      13.7783       0.0063
2459624.83407465      13.8000       0.0063
2459624.83613473      13.8098       0.0063
2459624.83820639      13.8446       0.0063
2459624.83909755      13.8545       0.0063
2459624.84082200      13.8824       0.0063
2459624.84289365      13.9175       0.0063
2459624.84495374      13.9492       0.0063
2459624.84702539      13.9924       0.0063
2459624.84909705      14.0537       0.0073
2459624.85115713      14.0909       0.0073
2459624.85321721      14.1663       0.0073
2459624.85528887      14.2053       0.0073
2459624.85736052      14.2650       0.0073
2459624.85942060      14.3066       0.0082
2459624.86149226      14.3520       0.0082
2459624.86355234      14.3678       0.0082
2459624.86562400      14.3746       0.0082
2459624.86768408      14.3531       0.0082
2459624.86975573      14.3360       0.0082
2459624.87181581      14.2928       0.0082
2459624.87388747      14.2332       0.0073
2459624.87595913      14.1735       0.0073
2459624.87801921      14.1225       0.0073
2459624.88009086      14.0740       0.0073
2459624.88216252      14.0219       0.0063
2459624.88423417      13.9725       0.0063
2459624.88629425      13.9389       0.0063
2459624.88836591      13.8932       0.0063
2459624.89043757      13.8836       0.0063
2459624.89249765      13.8470       0.0063
2459624.89456930      13.8220       0.0063
2459624.89664096      13.8005       0.0063
2459624.89871261      13.7868       0.0063
2459624.90078427      13.7668       0.0063
2459624.90284435      13.7638       0.0063
2459624.90491601      13.7514       0.0063
2459624.90698766      13.7362       0.0054
2459624.90904774      13.7137       0.0054
2459624.91111940      13.7145       0.0054
2459624.91319105      13.7105       0.0054
2459624.91526271      13.7032       0.0054
2459624.91733436      13.6906       0.0054
2459624.91939445      13.6856       0.0054
2459624.92146610      13.6882       0.0054
2459624.92353776      13.6769       0.0054
