#     HJD               R           errR
2459624.63854044      14.8144       0.0104
2459624.64061210      14.7556       0.0104
2459624.64268375      14.7117       0.0104
2459624.64474384      14.6564       0.0095
2459624.64680392      14.6085       0.0095
2459624.64886400      14.5440       0.0095
2459624.65092408      14.5163       0.0095
2459624.65298417      14.4843       0.0085
2459624.65503268      14.4382       0.0095
2459624.65709276      14.4222       0.0095
2459624.65915284      14.4002       0.0085
2459624.66382853      14.3721       0.0085
2459624.66588862      14.3576       0.0085
2459624.66794870      14.3526       0.0085
2459624.66999721      14.3299       0.0095
2459624.67205729      14.3249       0.0085
2459624.67617745      14.2930       0.0085
2459624.67823754      14.2900       0.0095
2459624.68029762      14.2803       0.0085
2459624.68235770      14.2839       0.0098
2459624.68441778      14.2659       0.0085
2459624.68647787      14.2656       0.0085
2459624.68853795      14.2650       0.0076
2459624.69059803      14.2517       0.0085
2459624.69265811      14.2626       0.0085
2459624.69537788      14.2682       0.0085
2459624.69743797      14.2736       0.0076
2459624.70211366      14.2982       0.0085
2459624.70417374      14.3135       0.0085
2459624.70623382      14.3150       0.0085
2459624.70829391      14.3276       0.0085
2459624.71035399      14.3521       0.0085
2459624.71241407      14.3612       0.0085
2459624.71447415      14.3657       0.0085
2459624.71653424      14.3732       0.0085
2459624.71859432      14.3888       0.0085
2459624.72065440      14.4124       0.0085
2459624.72271448      14.4412       0.0095
2459624.72477456      14.4703       0.0085
2459624.72683465      14.5141       0.0085
2459624.72912620      14.5537       0.0095
2459624.73118628      14.6040       0.0104
2459624.73324636      14.6446       0.0095
2459624.73530644      14.7123       0.0104
2459624.73737810      14.7594       0.0104
2459624.73943818      14.8130       0.0104
2459624.74172974      14.8461       0.0114
2459624.74378982      14.8820       0.0114
2459624.74584990      14.9046       0.0114
2459624.74792156      14.8935       0.0114
2459624.74884165      14.8933       0.0092
2459624.75053717      14.8660       0.0114
2459624.75259725      14.8305       0.0104
2459624.75465733      14.7671       0.0104
2459624.75671741      14.7150       0.0095
2459624.75878907      14.6896       0.0095
2459624.76084915      14.6154       0.0095
2459624.76290923      14.5894       0.0095
2459624.76496931      14.5533       0.0095
2459624.76761964      14.4901       0.0085
2459624.76991120      14.4457       0.0085
2459624.77198285      14.4134       0.0085
2459624.77404293      14.3979       0.0085
2459624.77610302      14.3894       0.0085
2459624.77816310      14.3547       0.0076
2459624.78069769      14.3392       0.0076
2459624.78276935      14.3349       0.0076
2459624.78482943      14.3102       0.0076
2459624.78736403      14.2889       0.0076
2459624.78965558      14.2773       0.0076
2459624.79171566      14.2714       0.0076
2459624.79377574      14.2630       0.0076
2459624.79607887      14.2639       0.0076
2459624.79813895      14.2513       0.0076
2459624.80019903      14.2480       0.0076
2459624.80227069      14.2493       0.0076
2459624.80433077      14.2454       0.0076
2459624.80640243      14.2496       0.0076
2459624.80887915      14.2552       0.0076
2459624.81095081      14.2501       0.0076
2459624.81301089      14.2543       0.0076
2459624.81508255      14.2798       0.0076
2459624.81755928      14.2629       0.0076
2459624.81961936      14.2885       0.0076
2459624.82208451      14.2989       0.0085
2459624.82415617      14.2970       0.0076
2459624.82621625      14.3274       0.0085
2459624.82827633      14.3467       0.0085
2459624.83034799      14.3583       0.0085
2459624.83240807      14.3773       0.0085
2459624.83447972      14.3884       0.0085
2459624.83653981      14.4195       0.0085
2459624.84122707      14.4961       0.0095
2459624.84329873      14.5199       0.0095
2459624.84535881      14.5672       0.0095
2459624.84743046      14.6268       0.0095
2459624.84949055      14.6835       0.0104
2459624.85156220      14.7308       0.0104
2459624.85362228      14.7657       0.0104
2459624.85569394      14.8646       0.0114
2459624.85776559      14.8858       0.0114
2459624.85982568      14.9735       0.0124
2459624.86189733      14.9709       0.0124
2459624.86395741      15.0036       0.0124
2459624.86602907      15.0069       0.0124
2459624.86808915      14.9598       0.0124
2459624.87016080      14.9505       0.0124
2459624.87223246      14.8978       0.0114
2459624.87429254      14.8422       0.0114
2459624.87636420      14.7725       0.0114
2459624.87842428      14.7504       0.0114
2459624.88049593      14.6557       0.0104
2459624.88256759      14.6209       0.0104
2459624.88463925      14.5770       0.0095
2459624.88669933      14.5339       0.0095
2459624.88877098      14.4769       0.0095
2459624.89084264      14.4703       0.0095
2459624.89290272      14.4299       0.0085
2459624.89497438      14.4099       0.0095
2459624.89704603      14.3968       0.0085
2459624.89911769      14.3716       0.0085
2459624.90118934      14.3634       0.0085
2459624.90324942      14.3570       0.0085
2459624.90532108      14.3170       0.0085
2459624.90739273      14.3320       0.0085
2459624.90945282      14.3045       0.0085
2459624.91152447      14.3109       0.0085
2459624.91359613      14.2942       0.0085
2459624.91566778      14.2938       0.0085
2459624.91773944      14.2757       0.0085
2459624.91979952      14.2612       0.0085
2459624.92187117      14.2606       0.0085
2459624.92394283      14.2574       0.0085
