#     HJD               V           errV
2459624.63897445      15.4143       0.0153
2459624.64104610      15.3867       0.0153
2459624.64311776      15.2915       0.0143
2459624.64517784      15.2601       0.0133
2459624.64723793      15.2184       0.0133
2459624.64929801      15.1864       0.0133
2459624.65135809      15.1098       0.0124
2459624.65340660      15.0866       0.0124
2459624.65546668      15.0649       0.0136
2459624.65752676      15.0462       0.0124
2459624.65958685      14.9969       0.0126
2459624.66220246      14.9907       0.0126
2459624.66426254      14.9719       0.0126
2459624.66632262      14.9543       0.0114
2459624.66837113      14.9412       0.0114
2459624.67043121      14.9358       0.0117
2459624.67249130      14.9141       0.0126
2459624.67455138      14.8963       0.0117
2459624.67661146      14.8864       0.0126
2459624.67867154      14.8792       0.0126
2459624.68073162      14.8704       0.0114
2459624.68279171      14.8654       0.0117
2459624.68485179      14.8931       0.0126
2459624.68691187      14.8855       0.0104
2459624.68897195      14.8761       0.0117
2459624.69103204      14.8520       0.0108
2459624.69308055      14.8772       0.0117
2459624.69581189      14.8976       0.0114
2459624.69787197      14.8778       0.0117
2459624.70048758      14.9010       0.0117
2459624.70254767      14.8988       0.0117
2459624.70460775      14.9240       0.0104
2459624.70666783      14.9305       0.0114
2459624.70872791      14.9593       0.0114
2459624.71078799      14.9434       0.0114
2459624.71284808      14.9564       0.0114
2459624.71490816      14.9710       0.0117
2459624.71696824      15.0077       0.0114
2459624.71902832      15.0407       0.0124
2459624.72108841      15.0575       0.0124
2459624.72314849      15.0975       0.0146
2459624.72520857      15.1123       0.0124
2459624.72726865      15.1434       0.0124
2459624.72956020      15.1671       0.0133
2459624.73162029      15.2334       0.0133
2459624.73368037      15.2942       0.0143
2459624.73574045      15.3430       0.0143
2459624.73780053      15.3824       0.0143
2459624.74010366      15.4767       0.0163
2459624.74216374      15.4922       0.0153
2459624.74422382      15.5357       0.0163
2459624.74628391      15.5424       0.0163
2459624.75097117      15.4903       0.0153
2459624.75303125      15.4251       0.0153
2459624.75509134      15.3998       0.0143
2459624.75715142      15.3591       0.0143
2459624.75922307      15.3106       0.0133
2459624.76128316      15.2405       0.0133
2459624.76334324      15.1825       0.0124
2459624.76540332      15.1478       0.0124
2459624.76828512      15.0964       0.0124
2459624.77034520      15.0611       0.0114
2459624.77241686      15.0418       0.0114
2459624.77447694      15.0032       0.0114
2459624.77653702      14.9628       0.0104
2459624.77859710      14.9652       0.0104
2459624.78113170      14.9579       0.0104
2459624.78320336      14.9342       0.0104
2459624.78549491      14.9088       0.0104
2459624.78778646      14.8871       0.0104
2459624.79008959      14.9095       0.0104
2459624.79214967      14.8956       0.0104
2459624.79420975      14.8692       0.0104
2459624.79651288      14.8626       0.0104
2459624.79857296      14.8618       0.0104
2459624.80064461      14.8497       0.0104
2459624.80270469      14.8607       0.0104
2459624.80476478      14.8320       0.0104
2459624.80683643      14.8469       0.0104
2459624.80931316      14.8602       0.0104
2459624.81138482      14.8432       0.0104
2459624.81344490      14.8507       0.0104
2459624.81551655      14.8938       0.0104
2459624.81799328      14.8876       0.0104
2459624.82005336      14.8896       0.0104
2459624.82251852      14.9064       0.0104
2459624.82459017      14.9059       0.0104
2459624.82665025      14.9285       0.0104
2459624.82871034      14.9393       0.0114
2459624.83078199      14.9767       0.0114
2459624.83284207      14.9804       0.0114
2459624.83491373      14.9996       0.0114
2459624.83697381      15.0248       0.0114
2459624.83960099      15.0728       0.0124
2459624.84166108      15.1071       0.0124
2459624.84373273      15.1356       0.0124
2459624.84579281      15.2040       0.0133
2459624.84786447      15.2502       0.0133
2459624.84992455      15.2947       0.0143
2459624.85199621      15.3522       0.0153
2459624.85405629      15.4287       0.0153
2459624.85612794      15.4796       0.0163
2459624.85819960      15.5311       0.0173
2459624.86025968      15.5904       0.0182
2459624.86233134      15.6262       0.0182
2459624.86439142      15.6467       0.0182
2459624.86646307      15.6214       0.0182
2459624.86852316      15.6116       0.0182
2459624.87059481      15.5735       0.0182
2459624.87266647      15.5163       0.0173
2459624.87472655      15.4549       0.0163
2459624.87679820      15.4203       0.0163
2459624.87885829      15.3316       0.0143
2459624.88092994      15.2798       0.0143
2459624.88300160      15.2072       0.0143
2459624.88507325      15.1740       0.0133
2459624.88713333      15.1470       0.0133
2459624.88920499      15.0878       0.0133
2459624.89127664      15.0574       0.0124
2459624.89334830      15.0352       0.0124
2459624.89540838      15.0069       0.0124
2459624.89748004      15.0034       0.0124
2459624.89955169      14.9902       0.0126
2459624.90162335      14.9697       0.0114
2459624.90368343      14.9428       0.0114
2459624.90575508      14.9176       0.0114
2459624.90782674      14.9211       0.0114
2459624.90988682      14.9004       0.0114
2459624.91197005      14.8832       0.0114
2459624.91403013      14.9014       0.0114
2459624.91610179      14.8708       0.0114
2459624.91817344      14.9113       0.0114
2459624.92023352      14.8822       0.0114
2459624.92230518      14.8673       0.0117
2459624.92437683      14.8842       0.0117
