#     HJD               B           errB
2459896.64672249      12.3437       0.0028
2459896.64908352      12.3393       0.0028
2459896.65145613      12.3365       0.0028
2459896.65381717      12.3309       0.0028
2459896.65618979      12.3261       0.0036
2459896.65855083      12.3298       0.0036
2459896.66091186      12.3195       0.0050
2459896.66328448      12.3115       0.0050
2459896.66564552      12.3109       0.0028
2459896.66800655      12.3140       0.0028
2459896.67037917      12.3130       0.0028
2459896.67274020      12.3044       0.0028
2459896.67511282      12.3000       0.0028
2459896.67747386      12.2999       0.0028
2459896.67983489      12.2983       0.0036
2459896.68220751      12.3039       0.0072
2459896.68456855      12.2972       0.0028
2459896.68694116      12.2974       0.0045
2459896.68930220      12.2958       0.0036
2459896.69167481      12.3012       0.0036
2459896.69403585      12.3002       0.0036
2459896.69639689      12.3077       0.0072
2459896.69876950      12.3002       0.0050
2459896.70113054      12.3110       0.0036
2459896.70349158      12.3078       0.0036
2459896.70586419      12.3125       0.0072
2459896.70822523      12.3045       0.0036
2459896.71058627      12.3113       0.0050
2459896.71295888      12.3260       0.0050
2459896.71531992      12.3281       0.0050
2459896.71769253      12.3293       0.0028
2459896.72005357      12.3410       0.0045
2459896.72242618      12.3456       0.0072
2459896.72478722      12.3318       0.0050
2459896.72714826      12.3509       0.0050
2459896.72952087      12.3577       0.0036
2459896.73188191      12.3641       0.0028
2459896.73424295      12.3714       0.0028
2459896.73661556      12.3755       0.0028
2459896.73897660      12.3816       0.0028
2459896.74133763      12.4015       0.0036
2459896.74371025      12.3963       0.0036
2459896.74607129      12.4143       0.0072
2459896.74844390      12.4130       0.0036
2459896.75080494      12.4263       0.0028
2459896.75317755      12.4342       0.0028
2459896.75553859      12.4370       0.0028
2459896.75789963      12.4415       0.0028
2459896.76027224      12.4376       0.0028
2459896.76263328      12.4425       0.0028
2459896.76499431      12.4425       0.0028
2459896.76736693      12.4448       0.0028
2459896.76972797      12.4426       0.0028
2459896.77210058      12.4444       0.0028
2459896.77446162      12.4441       0.0028
2459896.77683423      12.4431       0.0028
2459896.77919527      12.4434       0.0028
2459896.78155630      12.4357       0.0028
2459896.78392892      12.4408       0.0028
2459896.78628996      12.4393       0.0028
2459896.78865099      12.4307       0.0028
2459896.79102361      12.4375       0.0028
2459896.79339622      12.4378       0.0028
2459896.79575726      12.4224       0.0028
2459896.79811829      12.4225       0.0028
2459896.80049091      12.4103       0.0028
2459896.80285195      12.4052       0.0028
2459896.80522456      12.3947       0.0028
2459896.80758560      12.3807       0.0028
2459896.80995821      12.3795       0.0028
2459896.81231925      12.3660       0.0028
2459896.81469186      12.3663       0.0028
2459896.81705290      12.3567       0.0028
2459896.81941394      12.3432       0.0028
2459896.82178655      12.3343       0.0028
2459896.82415916      12.3334       0.0028
2459896.82652020      12.3290       0.0028
2459896.82889281      12.3200       0.0028
2459896.83125385      12.3207       0.0028
2459896.83362646      12.3121       0.0028
2459896.83598750      12.3040       0.0028
2459896.83836011      12.2960       0.0028
2459896.84072115      12.2993       0.0028
2459896.84309376      12.2931       0.0028
2459896.84546637      12.2914       0.0028
2459896.85070927      12.2877       0.0036
2459896.85307031      12.2775       0.0036
2459896.85599846      12.2859       0.0028
2459896.85837107      12.2739       0.0028
2459896.86073211      12.2743       0.0028
2459897.58930893      12.2859       0.0028
2459897.59166996      12.2871       0.0028
2459897.59403100      12.2792       0.0022
2459897.59639204      12.2804       0.0022
2459897.59875307      12.2823       0.0022
2459897.60111411      12.2825       0.0022
2459897.60347515      12.2838       0.0022
2459897.60583618      12.2844       0.0022
2459897.60819722      12.2860       0.0022
2459897.61055826      12.2877       0.0022
2459897.61291929      12.2881       0.0022
2459897.61529190      12.2927       0.0022
2459897.61765294      12.2884       0.0022
2459897.62001398      12.2982       0.0022
2459897.62237501      12.3025       0.0022
2459897.62473605      12.3058       0.0022
2459897.62709709      12.3132       0.0022
2459897.62945812      12.3117       0.0022
2459897.63181916      12.3196       0.0022
2459897.63418020      12.3207       0.0022
2459897.63655281      12.3238       0.0022
2459897.63891384      12.3274       0.0022
2459897.64127488      12.3279       0.0022
2459897.64363592      12.3361       0.0022
2459897.64599695      12.3433       0.0022
2459897.64835799      12.3504       0.0028
2459897.65071903      12.3567       0.0028
