#     HJD               I           errI
2459896.64510216      10.6730       0.0022
2459896.64746320      10.6681       0.0022
2459896.64983581      10.6597       0.0022
2459896.65219685      10.6590       0.0022
2459896.65455789      10.6556       0.0022
2459896.65693050      10.6506       0.0036
2459896.65929154      10.6483       0.0022
2459896.66165258      10.6426       0.0022
2459896.66402519      10.6341       0.0081
2459896.66638623      10.6370       0.0022
2459896.66875885      10.6377       0.0036
2459896.67111988      10.6421       0.0022
2459896.67348092      10.6354       0.0022
2459896.67585354      10.6276       0.0022
2459896.67821457      10.6271       0.0022
2459896.68058719      10.6259       0.0036
2459896.68294822      10.6297       0.0045
2459896.68532084      10.6236       0.0022
2459896.68768188      10.6313       0.0022
2459896.69004291      10.6216       0.0036
2459896.69241553      10.6295       0.0022
2459896.69477657      10.6257       0.0022
2459896.69713760      10.6173       0.0067
2459896.69951022      10.6369       0.0058
2459896.70187126      10.6329       0.0022
2459896.70423229      10.6337       0.0022
2459896.70660491      10.6472       0.0036
2459896.70896594      10.6280       0.0036
2459896.71133856      10.6454       0.0045
2459896.71369960      10.6519       0.0036
2459896.71607221      10.6567       0.0022
2459896.71843325      10.6522       0.0022
2459896.72079429      10.6616       0.0036
2459896.72316690      10.6667       0.0036
2459896.72552794      10.6649       0.0058
2459896.72788897      10.6759       0.0045
2459896.73026159      10.6807       0.0036
2459896.73262262      10.6856       0.0022
2459896.73499524      10.6952       0.0022
2459896.73735628      10.6966       0.0022
2459896.73971731      10.7033       0.0022
2459896.74208993      10.7177       0.0028
2459896.74445096      10.7154       0.0022
2459896.74682358      10.7071       0.0125
2459896.74918462      10.7300       0.0022
2459896.75154565      10.7428       0.0022
2459896.75391827      10.7458       0.0022
2459896.75627931      10.7473       0.0022
2459896.75864034      10.7473       0.0022
2459896.76101296      10.7528       0.0022
2459896.76337399      10.7559       0.0022
2459896.76574661      10.7515       0.0022
2459896.76810764      10.7478       0.0022
2459896.77046868      10.7550       0.0022
2459896.77284130      10.7531       0.0022
2459896.77520233      10.7560       0.0022
2459896.77757495      10.7513       0.0022
2459896.77993598      10.7501       0.0022
2459896.78229702      10.7504       0.0022
2459896.78466964      10.7500       0.0022
2459896.78703067      10.7476       0.0022
2459896.78940329      10.7468       0.0022
2459896.79176432      10.7466       0.0022
2459896.79413694      10.7414       0.0022
2459896.79649797      10.7388       0.0022
2459896.79887059      10.7309       0.0022
2459896.80123162      10.7289       0.0022
2459896.80360424      10.7198       0.0022
2459896.80596528      10.7107       0.0022
2459896.80833789      10.7045       0.0022
2459896.81069893      10.6890       0.0022
2459896.81305996      10.6893       0.0022
2459896.81543258      10.6843       0.0022
2459896.81779362      10.6741       0.0022
2459896.82016623      10.6636       0.0022
2459896.82252726      10.6622       0.0022
2459896.82489988      10.6546       0.0022
2459896.82726092      10.6530       0.0022
2459896.82963353      10.6510       0.0022
2459896.83199457      10.6430       0.0022
2459896.83436718      10.6539       0.0022
2459896.83673979      10.6354       0.0022
2459896.83910083      10.6327       0.0022
2459896.84147344      10.6287       0.0022
2459896.84383448      10.6292       0.0022
2459896.84620709      10.6245       0.0022
2459896.84907737      10.6169       0.0022
2459896.85144998      10.6114       0.0022
2459896.85382260      10.6155       0.0022
2459896.85473692      10.6150       0.0022
2459896.85673917      10.6090       0.0022
2459896.85911179      10.6071       0.0022
2459896.86148440      10.6167       0.0022
2459897.58768861      10.6190       0.0022
2459897.59004964      10.6196       0.0022
2459897.59241068      10.6158       0.0022
2459897.59477172      10.6169       0.0022
2459897.59713275      10.6151       0.0022
2459897.59949379      10.6136       0.0022
2459897.60185483      10.6145       0.0022
2459897.60421586      10.6143       0.0022
2459897.60657690      10.6177       0.0022
2459897.60893794      10.6181       0.0022
2459897.61129897      10.6213       0.0022
2459897.61367158      10.6205       0.0022
2459897.61603262      10.6243       0.0022
2459897.61839366      10.6288       0.0022
2459897.62075469      10.6301       0.0022
2459897.62311573      10.6360       0.0022
2459897.62547677      10.6333       0.0022
2459897.62783780      10.6396       0.0022
2459897.63021042      10.6434       0.0022
2459897.63255988      10.6453       0.0022
2459897.63493249      10.6536       0.0022
2459897.63729352      10.6532       0.0022
2459897.63965456      10.6592       0.0022
2459897.64201560      10.6642       0.0022
2459897.64437663      10.6657       0.0022
2459897.64673767      10.6695       0.0022
2459897.64909871      10.6764       0.0022
2459897.65145974      10.6865       0.0022
2459897.65383235      10.6900       0.0022
2459897.65619339      10.7002       0.0022
2459897.65855443      10.7063       0.0022
2459897.66091546      10.7078       0.0022
2459897.66327650      10.7234       0.0022
2459897.66563754      10.7303       0.0022
2459897.66799857      10.7393       0.0022
2459897.67035961      10.7442       0.0022
2459897.67272065      10.7500       0.0022
2459897.67508168      10.7433       0.0022
2459897.67745429      10.7468       0.0022
2459897.67981533      10.7513       0.0022
2459897.68217637      10.7541       0.0022
2459897.68453740      10.7520       0.0022
2459897.68689844      10.7526       0.0022
2459897.68927105      10.7498       0.0022
2459897.69164366      10.7607       0.0022
2459897.69400470      10.7537       0.0022
2459897.69636573      10.7549       0.0022
2459897.69873834      10.7524       0.0022
2459897.70109938      10.7656       0.0022
2459897.70346042      10.7492       0.0022
2459897.70582145      10.7555       0.0022
2459897.70819406      10.7544       0.0022
2459897.71055510      10.7557       0.0022
2459897.71291614      10.7570       0.0022
2459897.71528875      10.7510       0.0022
2459897.71764978      10.7448       0.0022
2459897.72001082      10.7408       0.0022
2459897.72237186      10.7298       0.0022
2459897.72473289      10.7208       0.0022
2459897.72710550      10.7112       0.0022
2459897.72946654      10.7058       0.0022
2459897.73182757      10.6936       0.0022
2459897.73418861      10.6875       0.0022
2459897.73656122      10.6804       0.0022
2459897.73892226      10.6771       0.0022
2459897.74128329      10.6727       0.0022
2459897.74364433      10.6674       0.0022
2459897.74601694      10.6632       0.0022
2459897.74837798      10.6612       0.0022
2459897.75075059      10.6512       0.0022
2459897.75311162      10.6527       0.0022
2459897.75547266      10.6458       0.0022
2459897.75784527      10.6423       0.0022
2459897.76020631      10.6419       0.0022
2459897.76256734      10.6373       0.0022
2459897.76493995      10.6322       0.0022
2459897.76730099      10.6334       0.0022
2459897.76966203      10.6312       0.0022
2459897.77203464      10.6331       0.0022
2459897.77439567      10.6232       0.0022
2459897.77675671      10.6223       0.0022
2459897.77912932      10.6229       0.0022
