#     HJD               R           errR
2459896.64553039      11.1319       0.0028
2459896.64790300      11.1303       0.0022
2459896.65026404      11.1269       0.0022
2459896.65262508      11.1205       0.0022
2459896.65499769      11.1164       0.0022
2459896.65735873      11.1132       0.0022
2459896.65973134      11.1159       0.0028
2459896.66209238      11.1086       0.0022
2459896.66446500      11.1225       0.0050
2459896.66682603      11.1027       0.0036
2459896.66918707      11.0951       0.0058
2459896.67154811      11.0943       0.0022
2459896.67392072      11.0899       0.0036
2459896.67628176      11.0985       0.0022
2459896.67865437      11.0900       0.0036
2459896.68101541      11.0829       0.0058
2459896.68338803      11.0988       0.0067
2459896.68574906      11.0907       0.0036
2459896.68812168      11.0910       0.0022
2459896.69048272      11.0893       0.0028
2459896.69284375      11.0924       0.0028
2459896.69521637      11.0864       0.0050
2459896.69757741      11.0901       0.0067
2459896.69993844      11.1019       0.0050
2459896.70229948      11.0983       0.0036
2459896.70467209      11.1020       0.0028
2459896.70703313      11.1044       0.0036
2459896.70940575      11.1070       0.0028
2459896.71176678      11.1135       0.0058
2459896.71413940      11.1274       0.0036
2459896.71650044      11.1180       0.0045
2459896.71886147      11.1232       0.0036
2459896.72123409      11.1274       0.0045
2459896.72359512      11.1343       0.0050
2459896.72596774      11.1426       0.0050
2459896.72832878      11.1528       0.0050
2459896.73068981      11.1516       0.0036
2459896.73306243      11.1499       0.0022
2459896.73542347      11.1582       0.0028
2459896.73779608      11.1630       0.0022
2459896.74015712      11.1676       0.0022
2459896.74251815      11.1828       0.0036
2459896.74489077      11.1946       0.0036
2459896.74725180      11.1885       0.0058
2459896.74961284      11.1984       0.0036
2459896.75198546      11.2097       0.0022
2459896.75434649      11.2154       0.0022
2459896.75671911      11.2191       0.0022
2459896.75908014      11.2157       0.0022
2459896.76144118      11.2243       0.0022
2459896.76381380      11.2203       0.0028
2459896.76617483      11.2233       0.0022
2459896.76854745      11.2264       0.0022
2459896.77090849      11.2214       0.0022
2459896.77326952      11.2196       0.0022
2459896.77564213      11.2213       0.0022
2459896.77800317      11.2197       0.0022
