#     HJD               V           errV
2459896.64602806      11.5688       0.0028
2459896.64838910      11.5674       0.0022
2459896.65076171      11.5603       0.0022
2459896.65312275      11.5602       0.0022
2459896.65548379      11.5523       0.0028
2459896.65785640      11.5553       0.0036
2459896.66021744      11.5391       0.0036
2459896.66257848      11.5391       0.0036
2459896.66495109      11.5383       0.0036
2459896.66731213      11.5309       0.0036
2459896.66968474      11.5340       0.0036
2459896.67204578      11.5353       0.0022
2459896.67440682      11.5271       0.0028
2459896.67677943      11.5276       0.0028
2459896.67914047      11.5221       0.0050
2459896.68151308      11.5193       0.0072
2459896.68387412      11.5360       0.0036
2459896.68624673      11.5353       0.0050
2459896.68860777      11.5228       0.0036
2459896.69096881      11.5254       0.0036
2459896.69334142      11.5248       0.0045
2459896.69570246      11.5284       0.0058
2459896.69806350      11.5387       0.0058
2459896.70043611      11.5380       0.0036
2459896.70279715      11.5393       0.0036
2459896.70515819      11.5339       0.0036
2459896.70753080      11.9379       0.0042
2459896.70989184      11.5437       0.0036
2459896.71226445      11.5558       0.0072
2459896.71462549      11.5520       0.0036
2459896.71699811      11.5657       0.0045
2459896.71935914      11.5595       0.0036
2459896.72172018      11.5584       0.0058
2459896.72409279      11.5705       0.0050
2459896.72645383      11.5758       0.0058
2459896.72881487      11.5809       0.0045
2459896.73118748      11.5900       0.0036
2459896.73354852      11.5917       0.0028
2459896.73590956      11.6041       0.0028
2459896.73828217      11.6080       0.0022
2459896.74064321      11.6193       0.0022
2459896.74301582      11.6308       0.0045
2459896.74537686      11.6300       0.0050
2459896.74774947      11.6453       0.0036
2459896.75011051      11.6453       0.0028
2459896.75247155      11.6565       0.0028
2459896.75484416      11.6592       0.0028
2459896.75720520      11.6650       0.0028
2459896.75956624      11.6632       0.0028
2459896.76193885      11.6729       0.0028
2459896.76429989      11.6675       0.0028
2459896.76667250      11.6646       0.0028
2459896.76903354      11.6687       0.0028
2459896.77140615      11.6703       0.0028
2459896.77376719      11.6660       0.0028
2459896.77612823      11.6644       0.0028
2459896.77850084      11.6646       0.0028
2459896.78086188      11.6621       0.0028
2459896.78323449      11.6636       0.0028
2459896.78559553      11.6605       0.0028
2459896.78795657      11.6652       0.0028
2459896.79032918      11.6594       0.0028
2459896.79269022      11.6618       0.0028
2459896.79506283      11.6527       0.0028
2459896.79742387      11.6431       0.0028
2459896.79979648      11.6427       0.0028
2459896.80215752      11.6323       0.0028
2459896.80453013      11.6214       0.0028
2459896.80689117      11.6121       0.0028
2459896.80926379      11.6056       0.0028
2459896.81162482      11.5986       0.0028
2459896.81398586      11.5923       0.0028
2459896.81635847      11.5881       0.0028
2459896.81871951      11.5734       0.0028
2459896.82109212      11.5725       0.0028
2459896.82345316      11.5644       0.0028
2459896.82582578      11.5615       0.0028
2459896.82818681      11.5539       0.0028
2459896.83055943      11.5497       0.0028
2459896.83293204      11.5456       0.0028
2459896.83529308      11.5384       0.0022
2459896.83766569      11.5267       0.0036
2459896.84002673      11.5323       0.0022
2459896.84239934      11.5323       0.0028
2459896.84476038      11.5248       0.0028
2459896.84713299      11.5154       0.0028
2459896.85000327      11.5035       0.0045
2459896.85237588      11.5205       0.0036
2459896.85530403      11.5206       0.0028
2459896.85766507      11.5098       0.0022
2459896.86003768      11.5150       0.0028
2459897.58861450      11.5177       0.0022
2459897.59097554      11.5231       0.0022
2459897.59333658      11.5204       0.0022
2459897.59569761      11.5165       0.0022
2459897.59805865      11.5210       0.0022
2459897.60041969      11.5143       0.0022
2459897.60278072      11.5190       0.0022
2459897.60514176      11.5157       0.0022
2459897.60750280      11.5203       0.0022
2459897.60986383      11.5225       0.0022
2459897.61222487      11.5255       0.0022
2459897.61458591      11.5280       0.0022
2459897.61695852      11.5261       0.0022
2459897.61931955      11.5252       0.0022
2459897.62168059      11.5356       0.0022
2459897.62404163      11.5376       0.0022
2459897.62640266      11.5449       0.0022
2459897.62876370      11.5428       0.0022
2459897.63112474      11.5459       0.0022
2459897.63348577      11.5511       0.0022
2459897.63584681      11.5574       0.0022
2459897.63821942      11.5593       0.0022
2459897.64058046      11.5632       0.0022
2459897.64294149      11.5703       0.0022
2459897.64530253      11.5730       0.0022
2459897.64766357      11.5779       0.0022
2459897.65002460      11.5831       0.0022
2459897.65238564      11.5912       0.0022
2459897.65475825      11.5969       0.0022
2459897.65711929      11.6079       0.0022
2459897.65948032      11.6176       0.0028
2459897.66184136      11.6266       0.0028
2459897.66420240      11.6407       0.0028
2459897.66656343      11.6446       0.0028
2459897.66892447      11.6548       0.0028
2459897.67128551      11.6550       0.0028
2459897.67364654      11.6562       0.0028
2459897.67600758      11.6641       0.0028
2459897.67838019      11.6649       0.0028
2459897.68074123      11.6493       0.0028
2459897.68310226      11.6631       0.0028
2459897.68546330      11.6653       0.0028
2459897.68783591      11.6662       0.0028
2459897.69019695      11.6723       0.0028
2459897.69256956      11.6653       0.0036
2459897.69493059      11.6652       0.0028
2459897.69729163      11.6640       0.0028
2459897.69966424      11.6711       0.0028
2459897.70202528      11.6806       0.0036
2459897.70438631      11.6700       0.0028
2459897.70674735      11.6652       0.0028
2459897.70911996      11.6703       0.0028
2459897.71148100      11.6716       0.0028
2459897.71384203      11.6684       0.0028
2459897.71620307      11.6623       0.0028
2459897.71857568      11.6555       0.0022
2459897.72093672      11.6426       0.0022
2459897.72329775      11.6409       0.0022
2459897.72565879      11.6261       0.0022
2459897.72803140      11.6219       0.0022
2459897.73039244      11.6136       0.0022
2459897.73275347      11.6049       0.0022
2459897.73511451      11.5979       0.0022
2459897.73748712      11.5855       0.0022
2459897.73984816      11.5817       0.0022
2459897.74220919      11.5816       0.0022
2459897.74457023      11.5739       0.0022
2459897.74694284      11.5675       0.0022
2459897.74930387      11.5676       0.0022
2459897.75167648      11.5637       0.0022
2459897.75403752      11.5587       0.0022
2459897.75639856      11.5535       0.0022
2459897.75877117      11.5516       0.0022
2459897.76113220      11.5449       0.0022
2459897.76349324      11.5410       0.0028
2459897.76586585      11.5357       0.0022
2459897.76822689      11.5402       0.0022
2459897.77058792      11.5366       0.0022
2459897.77294896      11.5342       0.0028
2459897.77532157      11.5351       0.0022
2459897.77768260      11.5307       0.0022
2459897.78005522      11.5338       0.0022
